CELL_ID,GRID_ID,,,RSRP,,
22224586,11667280|4009480,11667280,4009480,-85,116.6728,40.0948
20742915,11659680|4001720,11659680,4001720,-102.03,116.5968,40.0172
20505101,11665600|3965360,11665600,3965360,-98.22,116.656,39.6536
20867586,11666780|4000740,11666780,4000740,-94.33,116.6678,40.0074
20868355,11667980|4032640,11667980,4032640,-84,116.6798,40.3264
19081732,11637680|3996700,11637680,3996700,-90.07,116.3768,39.967
20862978,11657940|4025580,11657940,4025580,-97.81,116.5794,40.2558
20970755,11662320|3998280,11662320,3998280,-99.39,116.6232,39.9828
23872203,11646120|4001480,11646120,4001480,-77,116.4612,40.0148
24027339,11702040|4008280,11702040,4008280,-88.21,117.0204,40.0828
126949779,11648880|3991100,11648880,3991100,-90.33,116.4888,39.911
227173321,11645720|3982500,11645720,3982500,-101.46,116.4572,39.825
24034507,11706680|4027420,11706680,4027420,-95.76,117.0668,40.2742
22183371,11654340|4029020,11654340,4029020,-85.61,116.5434,40.2902
25185993,11663680|3989540,11663680,3989540,-96.77,116.6368,39.8954
19382274,11695520|4056220,11695520,4056220,-93.13,116.9552,40.5622
20839437,11660600|3986920,11660600,3986920,-84.81,116.606,39.8692
22499787,11628000|3979640,11628000,3979640,-107.19,116.28,39.7964
20546562,11656360|3975120,11656360,3975120,-88.71,116.5636,39.7512
22273021,11663940|4029960,11663940,4029960,-79.73,116.6394,40.2996
20580611,11711480|4015660,11711480,4015660,-87.76,117.1148,40.1566
20840961,11664860|4005180,11664860,4005180,-75.34,116.6486,40.0518
22049496,11645660|4003920,11645660,4003920,-88.06,116.4566,40.0392
23021258,11674380|4014360,11674380,4014360,-96.93,116.7438,40.1436
23925962,11656300|4011000,11656300,4011000,-98.56,116.563,40.11
23100873,11704240|4016260,11704240,4016260,-91.42,117.0424,40.1626
19070465,11671400|3968800,11671400,3968800,-90.19,116.714,39.688
20580609,11711700|4015820,11711700,4015820,-86.36,117.117,40.1582
18902021,11639200|3986960,11639200,3986960,-86.27,116.392,39.8696
25221321,11676940|4008120,11676940,4008120,-96.86,116.7694,40.0812
19070465,11671860|3969060,11671860,3969060,-87.68,116.7186,39.6906
20790017,11658280|3994200,11658280,3994200,-86,116.5828,39.942
19236109,11663380|4011620,11663380,4011620,-88,116.6338,40.1162
129855108,11609520|3971940,11609520,3971940,-88.2,116.0952,39.7194
4307458,11704220|4027120,11704220,4027120,-91.28,117.0422,40.2712
227178955,11650160|3994580,11650160,3994580,-96.73,116.5016,39.9458
20948744,11649240|3986980,11649240,3986980,-94.95,116.4924,39.8698
23215051,11672220|3969160,11672220,3969160,-94.48,116.7222,39.6916
22314955,11668080|3993340,11668080,3993340,-97.18,116.6808,39.9334
20531459,11686560|3973700,11686560,3973700,-96.67,116.8656,39.737
22415562,11702140|4014140,11702140,4014140,-83.15,117.0214,40.1414
20507649,11678540|3972140,11678540,3972140,-93.39,116.7854,39.7214
22312905,11656860|3974060,11656860,3974060,-101.61,116.5686,39.7406
18312193,11637220|3988780,11637220,3988780,-83.74,116.3722,39.8878
25109705,11652600|3978500,11652600,3978500,-100.47,116.526,39.785
23219403,11670660|3996320,11670660,3996320,-102.04,116.7066,39.9632
25183689,11672720|3978860,11672720,3978860,-89.47,116.7272,39.7886
18870284,11639540|3982740,11639540,3982740,-78.49,116.3954,39.8274
127002260,11655880|3996000,11655880,3996000,-94.31,116.5588,39.96
